COMMENT Column list: Type   Attribute   Date Created   Last Modified   Last Accessed   File size   FileName

COMMENT	
COMMENT	Computer: DESKTOP-VI4396B
COMMENT	User: Student
COMMENT	Prepared: 11:32 5/30/2020
COMMENT	Folder: C:\$Recycle.Bin\
COMMENT	Include Sub-Folders? Yes
COMMENT	
FOLDER	C:\$Recycle.Bin\	-HS----	3	0	0	0
FILE	---A---X	4/13/2020 23:41	4/13/2020 23:41	5/30/2020 11:10	152	$ICMODGM.dll
FILE	---A---X	4/13/2020 23:41	4/13/2020 23:41	5/30/2020 11:10	154	$IREV0BX.exe
FILE	---A----	4/13/2020 23:41	4/13/2020 23:41	5/30/2020 11:10	156	$ITDPFA5.pdf
FILE	---A---X	4/13/2020 23:41	4/13/2020 23:41	5/30/2020 11:10	154	$IZQZJIM.exe
FILE	---A---X	4/13/2020 23:53	4/14/2020 00:13	4/17/2020 08:19	32,256	$RFJLCGG.exe
FILE	---A---X	4/13/2020 23:53	4/14/2020 00:13	4/14/2020 11:05	35,328	$RL339OP.dll
FILE	---A----	4/13/2020 23:57	4/13/2020 23:57	5/30/2020 11:10	126	$IAGN6KI.txt
FILE	---A----	4/13/2020 23:57	4/13/2020 23:57	5/30/2020 11:10	106	$IOXW29U.log
FILE	---A----	4/14/2020 00:22	4/14/2020 00:22	5/30/2020 11:10	66	$IMSD96B.ini
FILE	---A----	4/14/2020 00:22	4/14/2020 00:22	5/30/2020 11:10	66	$IN35ID9.ini
FILE	---A----	4/14/2020 00:22	4/14/2020 00:22	5/30/2020 11:10	66	$ITSV5S0.ini
FILE	---A----	4/14/2020 00:22	4/14/2020 00:22	5/30/2020 11:10	66	$IX96ZBX.ini
FILE	---A----	4/14/2020 00:22	4/14/2020 00:22	5/30/2020 11:02	54	$IY9XLG4
FILE	---A----	4/14/2020 00:22	4/14/2020 00:22	5/30/2020 11:02	52	$IBHTNO5
FILE	---A----	4/14/2020 00:23	4/14/2020 11:05	4/14/2020 11:16	1,755	$RHOYZWQ.log
FILE	---A----	4/14/2020 00:24	4/14/2020 00:24	4/14/2020 00:24	13	$RBVVZPG.txt
FILE	---A----	4/14/2020 10:41	4/14/2020 10:41	5/30/2020 11:10	126	$IBVVZPG.txt
FILE	---A----	4/14/2020 10:42	4/14/2020 10:42	5/30/2020 11:02	56	$I6TTNLF
FILE	---A----	4/14/2020 10:42	4/14/2020 10:42	5/30/2020 11:02	46	$I86ELL3
FILE	---A----	4/14/2020 10:42	4/14/2020 10:42	5/30/2020 11:02	46	$ICX8KUA
FILE	---A----	4/14/2020 10:42	4/14/2020 10:42	5/30/2020 11:02	48	$IK6LAZS
FILE	---A----	4/14/2020 10:42	4/14/2020 10:42	5/30/2020 11:02	46	$IWUTLXY
