COMMENT Column list: Type   Attribute   Date Created   Last Modified   Last Accessed   File size   FileName

COMMENT	
COMMENT	Computer: DESKTOP-VI4396B
COMMENT	User: Student
COMMENT	Prepared: 11:36 5/30/2020
COMMENT	Folder: C:\Users\Student\AppData\Local\Temp\
COMMENT	Include Sub-Folders? Yes
COMMENT	
FOLDER	C:\Users\Student\AppData\Local\Temp\	-------	22	200	98,204,840	98,204,840
FILE	---A----	5/24/2020 17:00	5/24/2020 17:00	5/24/2020 17:00	0	mat-debug-11148.log
FILE	---A----	5/24/2020 17:01	5/24/2020 17:01	5/24/2020 17:01	1,310,720	31v5wijo.dxn-AAF-Bot.pdf
FILE	---A---X	5/24/2020 17:01	5/24/2020 17:01	5/24/2020 17:01	1,048,576	ovuoucdj.2gi-AAF-Bot.doc
FILE	---A----	5/24/2020 20:01	5/24/2020 20:01	5/24/2020 20:01	0	mat-debug-4740.log
FILE	---A----	5/24/2020 20:01	5/24/2020 20:01	5/24/2020 20:01	1,310,720	patorqct.xgl-AAF-Bot.pdf
FILE	---A---X	5/24/2020 20:01	5/24/2020 20:01	5/24/2020 20:01	1,048,576	yj4sdly4.iu1-AAF-Bot.doc
FILE	---A----	5/24/2020 23:00	5/24/2020 23:00	5/24/2020 23:00	0	mat-debug-9028.log
FILE	---A---X	5/24/2020 23:01	5/24/2020 23:01	5/24/2020 23:01	786,432	2aozrzph.wm2-AAF-Bot.msi
FILE	---A---X	5/24/2020 23:01	5/24/2020 23:01	5/24/2020 23:01	262,144	rsgliuwg.ne2-AAF-Bot.exe
FILE	---A----	5/25/2020 02:01	5/25/2020 02:01	5/25/2020 02:01	0	mat-debug-3908.log
FILE	---A---X	5/25/2020 02:01	5/25/2020 02:01	5/25/2020 02:01	1,048,576	d1fcldiy.pyv-AAF-Bot.doc
FILE	---A----	5/25/2020 02:01	5/25/2020 02:01	5/25/2020 02:01	1,310,720	kucpwlxc.itl-AAF-Bot.pdf
FILE	---A----	5/25/2020 05:00	5/25/2020 05:00	5/25/2020 05:00	0	mat-debug-11880.log
FILE	---A---X	5/25/2020 05:01	5/25/2020 05:01	5/25/2020 05:01	786,432	j3hf5e21.jtl-AAF-Bot.msi
FILE	---A---X	5/25/2020 05:01	5/25/2020 05:01	5/25/2020 05:01	786,432	mnq4r5pu.e1a-AAF-Bot.msi
FILE	---A----	5/25/2020 08:01	5/25/2020 08:01	5/25/2020 08:01	0	mat-debug-7660.log
FILE	---A---X	5/25/2020 08:01	5/25/2020 08:01	5/25/2020 08:01	786,432	0yuhryr4.vk5-AAF-Bot.msi
FILE	---A---X	5/25/2020 08:01	5/25/2020 08:01	5/25/2020 08:01	786,432	is4znjh2.uk2-AAF-Bot.msi
FILE	---A----	5/25/2020 11:01	5/25/2020 11:01	5/25/2020 11:01	0	mat-debug-492.log
FILE	---A---X	5/25/2020 11:01	5/25/2020 11:01	5/25/2020 11:01	262,144	debrphhu.n24-AAF-Bot.exe
FILE	---A---X	5/25/2020 11:01	5/25/2020 11:01	5/25/2020 11:01	1,048,576	htpaibdr.3p4-AAF-Bot.doc
FILE	---A----	5/25/2020 14:00	5/25/2020 14:00	5/25/2020 14:00	0	mat-debug-9744.log
FILE	---A---X	5/25/2020 14:01	5/25/2020 14:01	5/25/2020 14:01	262,144	5ziuiu1v.4o2-AAF-Bot.exe
FILE	---A---X	5/25/2020 14:01	5/25/2020 14:01	5/25/2020 14:01	786,432	qld4bfcr.dna-AAF-Bot.msi
FILE	---A----	5/25/2020 17:01	5/25/2020 17:01	5/25/2020 17:01	0	mat-debug-10104.log
FILE	---A---X	5/25/2020 17:01	5/25/2020 17:01	5/25/2020 17:01	786,432	dn3i4c14.o45-AAF-Bot.msi
FILE	---A---X	5/25/2020 17:01	5/25/2020 17:01	5/25/2020 17:01	786,432	lztvitj2.rs5-AAF-Bot.msi
FILE	---A----	5/25/2020 20:01	5/25/2020 20:01	5/25/2020 20:01	0	mat-debug-3532.log
FILE	---A---X	5/25/2020 20:01	5/25/2020 20:01	5/25/2020 20:01	1,048,576	ocds3fnj.e5y-AAF-Bot.doc
FILE	---A---X	5/25/2020 20:01	5/25/2020 20:01	5/25/2020 20:01	786,432	ztzrcl2f.e22-AAF-Bot.msi
FILE	---A----	5/25/2020 23:00	5/25/2020 23:00	5/25/2020 23:00	0	mat-debug-12188.log
FILE	---A---X	5/25/2020 23:01	5/25/2020 23:01	5/25/2020 23:01	1,048,576	1nrkwtnq.ekt-AAF-Bot.doc
FILE	---A---X	5/25/2020 23:01	5/25/2020 23:01	5/25/2020 23:01	524,288	5oaoosbo.3wx-AAF-Bot.dll
FILE	---A----	5/26/2020 02:01	5/26/2020 02:01	5/26/2020 02:01	0	mat-debug-12920.log
FILE	---A---X	5/26/2020 02:01	5/26/2020 02:01	5/26/2020 02:01	1,048,576	fokfuwby.p50-AAF-Bot.doc
FILE	---A---X	5/26/2020 02:01	5/26/2020 02:01	5/26/2020 02:01	1,048,576	ktmzf1rj.ibb-AAF-Bot.doc
FILE	---A----	5/26/2020 05:01	5/26/2020 05:01	5/26/2020 05:01	0	mat-debug-648.log
FILE	---A---X	5/26/2020 05:01	5/26/2020 05:01	5/26/2020 05:01	1,048,576	gcmnpggz.y44-AAF-Bot.doc
FILE	---A---X	5/26/2020 05:01	5/26/2020 05:01	5/26/2020 05:01	1,048,576	jishjcpr.dl0-AAF-Bot.doc
FILE	---A---X	5/26/2020 08:01	5/26/2020 08:01	5/26/2020 08:01	1,048,576	k1zowf2s.5j3-AAF-Bot.doc
FILE	---A---X	5/26/2020 08:01	5/26/2020 08:01	5/26/2020 08:01	1,048,576	k2xtow3m.dz2-AAF-Bot.doc
FILE	---A----	5/26/2020 11:01	5/26/2020 11:01	5/26/2020 11:01	0	mat-debug-11980.log
FILE	---A---X	5/26/2020 11:01	5/26/2020 11:01	5/30/2020 11:35	262,144	4phzcbhe.f5d-AAF-Bot.exe
FILE	---A----	5/26/2020 11:01	5/26/2020 11:01	5/26/2020 11:01	1,310,720	bi5ed0vx.3xh-AAF-Bot.pdf
FILE	---A----	5/26/2020 14:00	5/26/2020 14:00	5/26/2020 14:00	0	mat-debug-12380.log
FILE	---A---X	5/26/2020 14:01	5/26/2020 14:01	5/26/2020 14:01	786,432	23jlhe3w.3j5-AAF-Bot.msi
FILE	---A---X	5/26/2020 14:01	5/26/2020 14:01	5/26/2020 14:01	262,144	ibuc1s1k.2e3-AAF-Bot.exe
FILE	---A----	5/26/2020 16:10	5/26/2020 16:10	5/27/2020 01:15	27,946	wctA6CE.tmp
FILE	---A----	5/26/2020 17:00	5/26/2020 17:00	5/26/2020 17:00	0	mat-debug-4660.log
FILE	---A---X	5/26/2020 17:01	5/26/2020 17:01	5/26/2020 17:01	1,048,576	2pwijdib.is0-AAF-Bot.doc
FILE	---A---X	5/26/2020 17:01	5/26/2020 17:01	5/26/2020 17:01	786,432	ychli0ma.xds-AAF-Bot.msi
FILE	---A----	5/26/2020 19:56	5/26/2020 19:56	5/26/2020 19:56	0	mat-debug-6092.log
FILE	---A----	5/26/2020 19:59	5/26/2020 19:59	5/26/2020 19:59	0	mat-debug-11476.log
FILE	---A---X	5/26/2020 20:01	5/26/2020 20:01	5/30/2020 11:35	262,144	0ljpil25.znj-AAF-Bot.exe
FILE	---A----	5/26/2020 20:01	5/26/2020 20:01	5/26/2020 20:01	1,310,720	ockyqmck.ear-AAF-Bot.pdf
FILE	---A----	5/26/2020 23:01	5/26/2020 23:01	5/26/2020 23:01	0	mat-debug-13616.log
FILE	---A---X	5/26/2020 23:01	5/26/2020 23:01	5/26/2020 23:01	1,048,576	g1unev1c.yud-AAF-Bot.doc
FILE	---A---X	5/26/2020 23:01	5/26/2020 23:01	5/26/2020 23:01	1,048,576	ih5os1tx.pwm-AAF-Bot.doc
FILE	---A----	5/27/2020 02:00	5/27/2020 02:00	5/27/2020 02:00	0	mat-debug-7260.log
FILE	---A---X	5/27/2020 02:01	5/27/2020 02:01	5/27/2020 02:01	1,048,576	151quegb.vlk-AAF-Bot.doc
FILE	---A---X	5/27/2020 02:01	5/27/2020 02:01	5/27/2020 02:01	1,048,576	ualef2ys.fls-AAF-Bot.doc
FILE	---A----	5/27/2020 05:01	5/27/2020 05:01	5/27/2020 05:01	0	mat-debug-11404.log
FILE	---A---X	5/27/2020 05:02	5/27/2020 05:02	5/30/2020 11:35	262,144	3wgkvp50.k0v-AAF-Bot.exe
FILE	---A---X	5/27/2020 05:02	5/27/2020 05:02	5/27/2020 05:02	1,048,576	4jtnx5rz.tcy-AAF-Bot.doc
FILE	---A----	5/27/2020 08:05	5/27/2020 08:05	5/27/2020 08:05	0	mat-debug-10056.log
FILE	---A---X	5/27/2020 08:05	5/27/2020 08:05	5/27/2020 08:05	786,432	eqsemnwa.ucs-AAF-Bot.msi
FILE	---A---X	5/27/2020 08:05	5/27/2020 08:05	5/27/2020 08:05	262,144	ux5jeqda.lk2-AAF-Bot.exe
FILE	---A----	5/27/2020 11:00	5/27/2020 11:00	5/27/2020 11:00	0	mat-debug-5928.log
FILE	---A---X	5/27/2020 11:01	5/27/2020 11:01	5/27/2020 11:01	786,432	55wxgl3m.yrs-AAF-Bot.msi
FILE	---A---X	5/27/2020 11:01	5/27/2020 11:01	5/27/2020 11:01	262,144	mqtvrqaf.24x-AAF-Bot.exe
FILE	---A----	5/27/2020 14:00	5/27/2020 14:00	5/27/2020 14:00	0	mat-debug-11940.log
FILE	---A---X	5/27/2020 14:01	5/27/2020 14:01	5/27/2020 14:01	786,432	ftukvxb4.qvq-AAF-Bot.msi
FILE	---A----	5/27/2020 14:01	5/27/2020 14:01	5/27/2020 14:01	1,310,720	jo1byzen.sws-AAF-Bot.pdf
FILE	---A----	5/27/2020 15:45	5/27/2020 15:45	5/28/2020 00:05	27,947	wctF095.tmp
FILE	---A----	5/27/2020 17:00	5/27/2020 17:00	5/27/2020 17:00	0	mat-debug-10864.log
FILE	---A---X	5/27/2020 17:01	5/27/2020 17:01	5/27/2020 17:01	1,048,576	brg3vgeh.fap-AAF-Bot.doc
FILE	---A----	5/27/2020 17:01	5/27/2020 17:01	5/27/2020 17:01	1,310,720	fmzijdl0.sz0-AAF-Bot.pdf
FILE	---A----	5/27/2020 20:01	5/27/2020 20:01	5/27/2020 20:01	0	mat-debug-10724.log
FILE	---A---X	5/27/2020 20:01	5/27/2020 20:01	5/27/2020 20:01	1,048,576	e30kpw2h.10u-AAF-Bot.doc
FILE	---A---X	5/27/2020 20:01	5/27/2020 20:01	5/27/2020 20:01	524,288	k4i1llhq.wxj-AAF-Bot.dll
FILE	---A----	5/27/2020 23:00	5/27/2020 23:00	5/27/2020 23:00	0	mat-debug-9332.log
FILE	---A---X	5/27/2020 23:01	5/27/2020 23:01	5/27/2020 23:01	1,048,576	4ha0x3fd.fqr-AAF-Bot.doc
FILE	---A---X	5/27/2020 23:01	5/27/2020 23:01	5/27/2020 23:01	1,048,576	mihteoyb.hh4-AAF-Bot.doc
FILE	---A----	5/28/2020 02:00	5/28/2020 02:00	5/28/2020 02:00	0	mat-debug-12224.log
FILE	---A---X	5/28/2020 02:01	5/28/2020 02:01	5/28/2020 02:01	262,144	p5quvoiu.q0j-AAF-Bot.exe
FILE	---A----	5/28/2020 02:01	5/28/2020 02:01	5/28/2020 02:01	1,310,720	yyljhhx2.4kk-AAF-Bot.pdf
FILE	---A----	5/28/2020 05:00	5/28/2020 05:00	5/28/2020 05:00	0	mat-debug-13368.log
FILE	---A---X	5/28/2020 05:01	5/28/2020 05:01	5/28/2020 05:01	1,048,576	1jbapmkw.2ar-AAF-Bot.doc
FILE	---A---X	5/28/2020 05:01	5/28/2020 05:01	5/28/2020 05:01	262,144	nyi4mbuf.g5b-AAF-Bot.exe
FILE	---A----	5/28/2020 08:01	5/28/2020 08:01	5/28/2020 08:01	0	mat-debug-676.log
FILE	---A---X	5/28/2020 08:01	5/28/2020 08:01	5/28/2020 08:01	524,288	cyk5f4bx.som-AAF-Bot.dll
FILE	---A---X	5/28/2020 08:01	5/28/2020 08:01	5/28/2020 08:01	786,432	sy4vzk4o.tbo-AAF-Bot.msi
FILE	---A----	5/28/2020 11:01	5/28/2020 11:01	5/28/2020 11:01	0	mat-debug-14032.log
FILE	---A---X	5/28/2020 11:02	5/28/2020 11:02	5/28/2020 11:02	786,432	1sftgb0g.h11-AAF-Bot.msi
FILE	---A---X	5/28/2020 11:02	5/28/2020 11:02	5/28/2020 11:02	262,144	qallc4lt.lha-AAF-Bot.exe
FILE	---A----	5/28/2020 14:01	5/28/2020 14:01	5/28/2020 14:01	0	mat-debug-9748.log
FILE	---A---X	5/28/2020 14:01	5/28/2020 14:01	5/28/2020 14:01	262,144	hhawi1vi.ta0-AAF-Bot.exe
FILE	---A---X	5/28/2020 14:01	5/28/2020 14:01	5/28/2020 14:01	262,144	ohfhdhl3.tiw-AAF-Bot.exe
FILE	---A----	5/28/2020 17:00	5/28/2020 17:00	5/28/2020 17:00	0	mat-debug-12496.log
FILE	---A----	5/28/2020 17:01	5/28/2020 17:01	5/28/2020 17:01	1,310,720	evsh2jks.2je-AAF-Bot.pdf
FILE	---A---X	5/28/2020 17:01	5/28/2020 17:01	5/28/2020 17:01	1,048,576	q1fn5f4u.ncc-AAF-Bot.doc
FILE	---A----	5/28/2020 17:50	5/28/2020 17:50	5/29/2020 03:16	27,949	wct3CE3.tmp
FILE	---A----	5/28/2020 17:50	5/28/2020 17:50	5/30/2020 01:24	27,949	wct713.tmp
FILE	---A----	5/28/2020 20:00	5/28/2020 20:00	5/28/2020 20:00	0	mat-debug-1608.log
FILE	---A---X	5/28/2020 20:01	5/28/2020 20:01	5/30/2020 11:35	262,144	3cm54qdh.g2n-AAF-Bot.exe
FILE	---A---X	5/28/2020 20:01	5/28/2020 20:01	5/28/2020 20:01	1,048,576	cgch4cev.u3r-AAF-Bot.doc
FILE	---A----	5/28/2020 23:01	5/28/2020 23:01	5/28/2020 23:01	0	mat-debug-12356.log
FILE	---A---X	5/28/2020 23:01	5/28/2020 23:01	5/28/2020 23:01	1,048,576	beg0flwe.ng2-AAF-Bot.doc
FILE	---A----	5/28/2020 23:01	5/28/2020 23:01	5/28/2020 23:01	1,310,720	fntun4jy.jm4-AAF-Bot.pdf
FILE	---A----	5/29/2020 02:00	5/29/2020 02:00	5/29/2020 02:00	0	mat-debug-13112.log
FILE	---A---X	5/29/2020 02:01	5/29/2020 02:01	5/29/2020 02:01	262,144	s5myi5m1.23q-AAF-Bot.exe
FILE	---A---X	5/29/2020 02:01	5/29/2020 02:01	5/29/2020 02:01	524,288	suejapxs.wgm-AAF-Bot.dll
FILE	---A----	5/29/2020 05:00	5/29/2020 05:00	5/29/2020 05:00	0	mat-debug-8808.log
FILE	---A----	5/29/2020 05:01	5/29/2020 05:01	5/29/2020 05:01	1,310,720	awpihlbd.czg-AAF-Bot.pdf
FILE	---A---X	5/29/2020 05:01	5/29/2020 05:01	5/29/2020 05:01	524,288	mbzhbszp.o2e-AAF-Bot.dll
FILE	---A----	5/29/2020 08:01	5/29/2020 08:01	5/29/2020 08:01	0	mat-debug-1736.log
FILE	---A---X	5/29/2020 08:01	5/29/2020 08:01	5/29/2020 08:01	524,288	icvb22vy.vem-AAF-Bot.dll
FILE	---A---X	5/29/2020 08:01	5/29/2020 08:01	5/29/2020 08:01	524,288	tl0h4z4a.0ih-AAF-Bot.dll
FILE	---A----	5/29/2020 11:01	5/29/2020 11:01	5/29/2020 11:01	0	mat-debug-7500.log
FILE	---A----	5/29/2020 11:01	5/29/2020 11:01	5/29/2020 11:01	1,310,720	1fw1gbmu.cgw-AAF-Bot.pdf
FILE	---A---X	5/29/2020 11:01	5/29/2020 11:01	5/29/2020 11:01	524,288	gqjyjqgx.x55-AAF-Bot.dll
FILE	---A----	5/29/2020 14:00	5/29/2020 14:00	5/29/2020 14:00	0	mat-debug-11532.log
FILE	---A----	5/29/2020 14:01	5/29/2020 14:01	5/29/2020 14:01	1,310,720	5zuqscmp.kds-AAF-Bot.pdf
FILE	---A---X	5/29/2020 14:01	5/29/2020 14:01	5/29/2020 14:01	1,048,576	k22r0io2.x2o-AAF-Bot.doc
FILE	---A----	5/29/2020 17:00	5/29/2020 17:00	5/29/2020 17:00	0	mat-debug-12644.log
FILE	---A---X	5/29/2020 17:01	5/29/2020 17:01	5/29/2020 17:01	1,048,576	ld3fv1sz.jv2-AAF-Bot.doc
FILE	---A---X	5/29/2020 17:01	5/29/2020 17:01	5/29/2020 17:01	262,144	vyh1dfxg.dzh-AAF-Bot.exe
FILE	---A----	5/29/2020 20:00	5/29/2020 20:00	5/29/2020 20:00	0	mat-debug-10656.log
FILE	---A---X	5/29/2020 20:01	5/29/2020 20:01	5/29/2020 20:01	1,048,576	ofa3n4o2.5ri-AAF-Bot.doc
FILE	---A---X	5/29/2020 20:01	5/29/2020 20:01	5/29/2020 20:01	524,288	oyjpjbam.2p4-AAF-Bot.dll
FILE	---A----	5/29/2020 23:00	5/29/2020 23:00	5/29/2020 23:00	0	mat-debug-3456.log
FILE	---A---X	5/29/2020 23:01	5/29/2020 23:01	5/29/2020 23:01	786,432	2g0nitu3.ykf-AAF-Bot.msi
FILE	---A---X	5/29/2020 23:01	5/29/2020 23:01	5/29/2020 23:01	786,432	b3jfpiil.wsj-AAF-Bot.msi
FILE	---A----	5/30/2020 01:24	5/30/2020 01:24	5/30/2020 01:24	470	aria-debug-15372.log
FILE	---A----	5/30/2020 02:00	5/30/2020 02:00	5/30/2020 02:00	0	mat-debug-15692.log
FILE	---A---X	5/30/2020 02:01	5/30/2020 02:01	5/30/2020 02:01	524,288	4wghepsa.k3e-AAF-Bot.dll
FILE	---A---X	5/30/2020 02:01	5/30/2020 02:01	5/30/2020 02:01	524,288	i45ff5c0.wpj-AAF-Bot.dll
FILE	---A----	5/30/2020 05:00	5/30/2020 05:00	5/30/2020 05:00	0	mat-debug-7800.log
FILE	---A---X	5/30/2020 05:01	5/30/2020 05:01	5/30/2020 05:01	1,048,576	l4awwram.xtq-AAF-Bot.doc
FILE	---A---X	5/30/2020 05:01	5/30/2020 05:01	5/30/2020 05:01	786,432	pg2v50xx.xez-AAF-Bot.msi
FILE	---A----	5/30/2020 08:00	5/30/2020 08:00	5/30/2020 08:00	0	mat-debug-4396.log
FILE	---A---X	5/30/2020 08:01	5/30/2020 08:01	5/30/2020 08:01	786,432	o0evmndy.ejo-AAF-Bot.msi
FILE	---A---X	5/30/2020 08:01	5/30/2020 08:01	5/30/2020 08:01	786,432	rhnaylu5.rvy-AAF-Bot.msi
FILE	---A----	5/30/2020 08:26	5/30/2020 08:26	5/30/2020 08:26	0	mat-debug-8564.log
FILE	---A----	5/30/2020 08:29	5/30/2020 08:29	5/30/2020 08:29	0	mat-debug-15432.log
